cookie_id,predictions
0018914ba3e54011b28fa715583d3354,"[138634, 209422, 153970, 117525, 209448]"
0035c298d8c64f368ae730a9cca9bb20,"[193331, 207156, 212325, 149024, 113482]"
00956458877448ec9fba87fb97443fdf,"[116900, 217683, 101462, 259050, 122614]"
0099387c921b41e7bae6c99dd8254b60,"[103881, 246509, 153970, 149484, 144097]"
009f65e8ae99413a8da94a491320580a,"[138634, 181745, 153970, 154411, 193331]"
00f7c31a13134b9ab2d5882e35acc800,"[207423, 260154, 193331, 108242, 171602]"
00ff40eaf05f48b2b36b9fd012bda73a,"[110792, 247276, 206544, 108242, 248720]"
010cc628bc0c4c9ab947fe1b58395e86,"[242145, 253946, 138634, 153970, 113482]"
010e482c3f9b4d6da4d91c0e68d22def,"[260154, 182870, 242642, 115977, 239021]"
012638bfbbfd42f98d034ce0ffd1c27f,"[103881, 210229, 149484, 144097, 227850]"
0145bd418576486aab7edf080c71b774,"[120252, 178415, 177622, 230707, 179082]"
01529ec40ac74cfa909bcc7ca36e084b,"[207108, 108242, 246509, 242642, 103881]"
015bbd5422a04687ba5736639d696b84,"[210628, 179082, 214513, 111867, 212300]"
017dc4b7e918476496edc277ce3b76ba,"[138634, 209422, 209448, 117532, 117525]"
018c2fb7bdbe47e180c5e7698bf9e8e3,"[181745, 154411, 109685, 207560, 121184]"
01c6ffd8492a4a88aa8b8cb2a6b501d6,"[138634, 219266, 212325, 253678, 246285]"
01db4ba21d2a4dfabad1c1d75c231176,"[243868, 114583, 113305, 152046, 228572]"
01de3a48079744c0acf8ebdcc20bf690,"[115977, 247299, 234115, 247304, 138634]"
01e3c67847d44fc78ff700e4efd2318f,"[237288, 230145, 221920, 198751, 178415]"
022b7fd016f847109e4f66922df3e4f5,"[113707, 108242, 207108, 111941, 111837]"
0236082aa58947518fa41a79bc49fca4,"[113482, 115420, 207211, 257631, 246509]"
0246b9d86cf74ad49e9c26be3a899cf9,"[217683, 110793, 239021, 243868, 154248]"
02754a5793be49eda09a37994b73acc7,"[110792, 217683, 115977, 246509, 206544]"
027bdd3583064157b22b868ea87eaffd,"[240663, 117897, 165933, 243678, 206907]"
027f95aefb6649a7a457c5eacb53a891,"[109685, 235614, 208607, 191664, 212676]"
02850f80234748969f9e4b64e72b390b,"[260154, 114583, 105907, 246509, 149024]"
02948d0b8be9450b9d59af6920750e5b,"[181745, 101396, 164236, 245952, 195073]"
029c7dd855c843a98f0e330d62e3d267,"[220718, 214513, 115420, 212141, 212987]"
02a4590d4f2f42328da07b4f758c3aa3,"[243868, 203404, 207156, 103881, 246509]"
02a699cfa9364f8f825377a333324e7c,"[212325, 207211, 171602, 116438, 109079]"
02babd79115a4477bc5e0c42ecafa76a,"[260154, 212325, 148714, 113305, 182870]"
02d8fc5ff00142f2823668bf31bc2ca0,"[198114, 181745, 250327, 110793, 154411]"
02e8fbbb87f24568a81fda13a0b462b0,"[230145, 212325, 230419, 115420, 179082]"
02f8d5abb1e54c679374fa36cfc297d4,"[240663, 117897, 165933, 235614, 243678]"
02fab4e8d3eb4a8782808bb2bda67edd,"[260154, 203404, 193331, 182870, 113482]"
032534b4f1044876b8fb750a062b67c6,"[237341, 210628, 179082, 214513, 243868]"
032f74d9ef894cf09e12d6edafbaa269,"[114583, 138634, 110793, 207108, 113482]"
034f3cd7472f4cdba2088bce96665a20,"[210628, 113482, 237341, 212325, 164602]"
035f6db6dc35415c9b56c1706eb60ee1,"[110792, 247276, 108242, 207156, 207423]"
0376de50e4534bcc9433395f1bb6ab0e,"[110792, 220718, 230707, 114583, 113482]"
038fe35a7a9e492c9e4c410e30ca203a,"[101136, 240432, 106584, 136872, 222378]"
03d3ff21dc914eb0b874d2b8ba1cfde7,"[110793, 239021, 237341, 242642, 207108]"
03e3223eb591419d956b07fdf1c1f2fd,"[237341, 113482, 207156, 212325, 243868]"
03f236d2217b427db5a3dca6f54b4b2b,"[149024, 111941, 207211, 207108, 105907]"
0418bb2c4d754895a98018faa64eb851,"[101136, 117525, 136872, 240432, 106584]"
041fa291d8404b8fb3ef5a08638b2fa4,"[110792, 212987, 110793, 206544, 206350]"
04255e26711e48258d49b2d670f3f64a,"[212953, 245637, 209245, 187662, 111837]"
042b3826b3ff4857bbafed4e768cd817,"[237341, 212325, 115420, 212141, 212027]"
0447b9ac099d487294cd0c08b530d3d4,"[101136, 117525, 136872, 240432, 106584]"
0455255d99884d65b170113bd8bb5daf,"[240663, 117897, 165933, 154411, 181745]"
04656bb2170847cfb668ea4aaf444e45,"[117532, 117525, 253946, 113482, 181745]"
04748e0da69c45938d65ed9e6ec8c96d,"[117897, 136817, 207423, 172483, 166835]"
049b52fd1eb042b6bbc81b67b7018ea5,"[207108, 113305, 237341, 113482, 240744]"
04ad8a1fd7d24ec78add3e7d05ee6421,"[108242, 153970, 114583, 149484, 173337]"
04d5835af6bb4c1080b93c956095932b,"[116900, 253678, 101136, 246285, 219266]"
04d80f94b6fb4ebd8c08c283f5c6be81,"[113482, 108242, 113305, 246509, 115977]"
04df0c70c27448dca62ed2426c0e0460,"[138634, 153970, 113305, 103881, 207108]"
04ea49a952b2410f8fb535131f2f6b75,"[113305, 240744, 162187, 242642, 212987]"
04ed5e28c83f453b99b5bc85c3a62513,"[260154, 108242, 114583, 113482, 110792]"
0513f0d9de214842ab54447821d4fbc7,"[113482, 207156, 212325, 122614, 243868]"
05178b025e1c4fc5b16364b457e082fa,"[181745, 154411, 253678, 115977, 109685]"
0524847314ae4e1b9af955f59b131757,"[203404, 116823, 182870, 114583, 110792]"
054d21dcd4704ae98aa9cbae8e1c9bb4,"[246509, 113482, 193331, 259663, 240744]"
057464631bfa4bc6b3eca738124eff39,"[212325, 207156, 113482, 219770, 168935]"
058a1735b9774ea38a87c99db7266be1,"[106584, 240432, 136872, 222378, 242710]"
